CODE,THEME_A_CD,THEME_A_NM,THEME_B_CD,THEME_B_NM,THEME_C_CD,THEME_C_NM,THEME_D_CD,THEME_D_NM,GMAP_X,GMAP_Y
10001130590059,10001,대학교,13,경북,059,경주대,0059,경상북도 경주시 효현동,,
10001130600060,10001,대학교,13,경북,060,금오공과대,0060,경상북도 구미시 양호동,,
10001130610061,10001,대학교,13,경북,061,김천대,0061,경상북도 김천시 삼락동,,
10001130620062,10001,대학교,13,경북,062,대구가톨릭대,0062,경상북도 경산시 하양읍 금락1리,,
10001130630063,10001,대학교,13,경북,063,대구대,0063,경상북도 경산시 진량읍 내리,,
10001130640064,10001,대학교,13,경북,064,대구예술대,0064,경상북도 칠곡군 가산면 다부리,,
10001130650065,10001,대학교,13,경북,065,대구외국어대,0065,경상북도 경산시 남천면 협석리,,
10001130660066,10001,대학교,13,경북,066,대구한의대,0066,경상북도 경산시 유곡동,,
10001130670067,10001,대학교,13,경북,067,대신대,0067,경상북도 경산시 백천동,,
10001130680068,10001,대학교,13,경북,068,동국대(경주),0068,경상북도 경주시 석장동,,
10001130690069,10001,대학교,13,경북,069,동양대,0069,경상북도 영주시 풍기읍 교촌동,,
10001130700070,10001,대학교,13,경북,070,안동대,0070,경상북도 안동시 송천동,,
10001130710071,10001,대학교,13,경북,071,영남대,0071,경상북도 경산시 대동,,
10001130720072,10001,대학교,13,경북,072,영남신학대,0072,경상북도 경산시 진량읍 봉회리,,
10001130730073,10001,대학교,13,경북,073,위덕대,0073,경상북도 경주시 강동면 유금리,,
10001130740074,10001,대학교,13,경북,074,포항공과대,0074,경상북도 포항시 남구 효자동,,
10001130750075,10001,대학교,13,경북,075,한동대 ,0075,경상북도 포항시 북구 흥해읍 남송리,,
10001140760076,10001,대학교,14,광주,076,광신대,0076,광주광역시 북구 본촌동,,
10001140770077,10001,대학교,14,광주,077,광주과학기술원,0077,광주광역시 북구 오룡동,,
10001140780078,10001,대학교,14,광주,078,광주교육대,0078,광주광역시 북구 풍향동,,
10001140790079,10001,대학교,14,광주,079,광주대,0079,광주광역시 남구 진월동,,
10001140800080,10001,대학교,14,광주,080,광주여대,0080,광주광역시 광산구 산정동,,
10001140810081,10001,대학교,14,광주,081,남부대,0081,광주광역시 광산구 월계동,,
10001140820082,10001,대학교,14,광주,082,전남대,0082,광주광역시 북구 용봉동,,
10001140830083,10001,대학교,14,광주,083,조선대,0083,광주광역시 동구 서석동,,
10001140840084,10001,대학교,14,광주,084,호남대,0084,광주광역시 광산구 서봉동,,
10001140850085,10001,대학교,14,광주,085,호남신학대,0085,광주광역시 남구 양림동,,
10001150860086,10001,대학교,15,대구,086,경북대,0086,대구광역시 북구 산격동,,
10001150870087,10001,대학교,15,대구,087,경북외국어대,0087,대구광역시 북구 동호동,,
10001150880088,10001,대학교,15,대구,088,계명대,0088,대구광역시 달서구 신당동,,
10001150890089,10001,대학교,15,대구,089,대구교육대,0089,대구광역시 남구 대명2동,,
10001150900090,10001,대학교,15,대구,090,대구한의대(수성),0090,대구광역시 수성구 상대동,,
10001160910091,10001,대학교,16,대전,091,대전대,0091,대전광역시 동구 용운동,,
10001160920092,10001,대학교,16,대전,092,목원대,0092,대전광역시 서구 도안동,,
10001160930093,10001,대학교,16,대전,093,배재대,0093,대전광역시 서구 도마2동,,
10001160940094,10001,대학교,16,대전,094,우송대,0094,대전광역시 동구 자양동,,
10001160950095,10001,대학교,16,대전,095,을지대(대전),0095,대전광역시 중구 용두동,,
10001160960096,10001,대학교,16,대전,096,충남대,0096,대전광역시 유성구 궁동,,
10001160970097,10001,대학교,16,대전,097,침례신학대,0097,대전광역시 유성구 하기동,,
10001160980098,10001,대학교,16,대전,098,한국과학기술원,0098,대전광역시 유성구 구성동,,
10001170990099,10001,대학교,17,부산,099,경성대,0099,부산광역시 남구 대연3동,,
10001171000100,10001,대학교,17,부산,100,고신대,0100,부산광역시 영도구 동삼1동,,
10001171010101,10001,대학교,17,부산,101,동명대,0101,부산광역시 남구 용당동,,
10001171020102,10001,대학교,17,부산,102,동서대,0102,부산광역시 사상구 주례2동,,
10001171030103,10001,대학교,17,부산,103,동아대,0103,부산광역시 사하구 하단2동,,
10001171040104,10001,대학교,17,부산,104,동의대,0104,부산광역시 부산진구 가야동,,
10001171050105,10001,대학교,17,부산,105,부경대,0105,부산광역시 남구 대연3동,,
10001171060106,10001,대학교,17,부산,106,부산가톨릭대,0106,부산광역시 금정구 부곡3동,,
10001171070107,10001,대학교,17,부산,107,부산교육대,0107,부산광역시 연제구 거제1동,,
10001171080108,10001,대학교,17,부산,108,부산대,0108,부산광역시 금정구 장전동,,
10001171090109,10001,대학교,17,부산,109,부산외국어대,0109,부산광역시 남구 우암동,,
10001171100110,10001,대학교,17,부산,110,신라대,0110,부산광역시 사상구 괘법동,,
10001171110111,10001,대학교,17,부산,111,영산대(부산),0111,부산광역시 해운대구 반송동,,
10001171120112,10001,대학교,17,부산,112,한국해양대,0112,부산광역시 영도구 동삼동,,
10001181130113,10001,대학교,18,서울,113,가톨릭대(성신),0113,서울특별시 종로구 동소문로,,
10001181140114,10001,대학교,18,서울,114,가톨릭대(성의),0114,서울특별시 서초구 반포동,,
10001181150115,10001,대학교,18,서울,115,감리교신학대 ,0115,서울특별시 서대문구 냉천동,,
10001181160116,10001,대학교,18,서울,116,건국대,0116,서울특별시 광진구 화양동,,
10001181170117,10001,대학교,18,서울,117,경기대,0117,서울특별시 서대문구 충정로2가,,
10001181180118,10001,대학교,18,서울,118,경희대,0118,서울특별시 동대문구 회기동,,
10001181190119,10001,대학교,18,서울,119,고려대,0119,서울특별시 성북구 안암동,,
10001181200120,10001,대학교,18,서울,120,광운대,0120,서울특별시 노원구 월계동,,
10001181210121,10001,대학교,18,서울,121,국민대,0121,서울특별시 성북구 정릉동,,
10001181220122,10001,대학교,18,서울,122,그리스도대,0122,서울특별시 강서구 화곡6동,,
10001181230123,10001,대학교,18,서울,123,덕성여대,0123,서울특별시 도봉구 쌍문동,,
10001181240124,10001,대학교,18,서울,124,동국대,0124,서울특별시 중구 필동3가,,
10001181250125,10001,대학교,18,서울,125,동덕여대,0125,서울특별시 성북구 하월곡2동,,
10001181260126,10001,대학교,18,서울,126,명지대,0126,서울특별시 서대문구 남가좌동,,
10001181270127,10001,대학교,18,서울,127,삼육대 ,0127,서울특별시 노원구 공릉2동,,
10001181280128,10001,대학교,18,서울,128,상명대,0128,서울특별시 종로구 홍지동,,
10001181290129,10001,대학교,18,서울,129,서강대,0129,서울특별시 마포구 신수동,,
10001181300130,10001,대학교,18,서울,130,서경대 ,0130,서울특별시 성북구 정릉동,,
10001181310131,10001,대학교,18,서울,131,서울과학기술대,0131,서울특별시 노원구 공릉2동,,
10001181320132,10001,대학교,18,서울,132,서울교육대,0132,서울특별시 서초구 서초동,,
10001181330133,10001,대학교,18,서울,133,서울기독교대,0133,서울특별시 은평구 신사동,,
10001181340134,10001,대학교,18,서울,134,서울대,0134,서울특별시 관악구 신림동,,
10001181350135,10001,대학교,18,서울,135,서울시립대,0135,서울특별시 동대문구 전농동,,
10001181360136,10001,대학교,18,서울,136,서울여대,0136,서울특별시 노원구 공릉동,,
10001181370137,10001,대학교,18,서울,137,성공회대,0137,서울특별시 구로구 항동,,
10001181380138,10001,대학교,18,서울,138,성균관대,0138,서울특별시 종로구 명륜3가,,
10001181390139,10001,대학교,18,서울,139,성신여대,0139,서울특별시 성북구 동선동3가,,
10001181400140,10001,대학교,18,서울,140,세종대,0140,서울특별시 광진구 군자동,,
10001181410141,10001,대학교,18,서울,141,숙명여대,0141,서울특별시 용산구 청파동,,
10001181420142,10001,대학교,18,서울,142,숭실대,0142,서울특별시 동작구 상도동,,
10001181430143,10001,대학교,18,서울,143,연세대,0143,서울특별시 서대문구 신촌동,,
10001181440144,10001,대학교,18,서울,144,이화여대,0144,서울특별시 서대문구 대현동,,
10001181450145,10001,대학교,18,서울,145,장로회신학대,0145,서울특별시 광진구 광장동,,
10001181460146,10001,대학교,18,서울,146,중앙대,0146,서울특별시 동작구 흑석동,,
10001181470147,10001,대학교,18,서울,147,총신대,0147,서울특별시 동작구 사당3동,,
10001181480148,10001,대학교,18,서울,148,추계예술대,0148,서울특별시 서대문구 북아현동,,
10001181490149,10001,대학교,18,서울,149,한국성서대,0149,서울특별시 노원구 상계7동,,
10001181500150,10001,대학교,18,서울,150,한국외국어대,0150,서울특별시 동대문구 이문동,,
10001181510151,10001,대학교,18,서울,151,한국체육대,0151,서울특별시 송파구 오륜동,,
10001181520152,10001,대학교,18,서울,152,한성대,0152,서울특별시 성북구 삼선동3가,,
10001181530153,10001,대학교,18,서울,153,한양대,0153,서울특별시 성동구 행당동,,
10001181540154,10001,대학교,18,서울,154,한영신학대,0154,서울특별시 구로구 개봉동,,
10001181550155,10001,대학교,18,서울,155,홍익대,0155,서울특별시 마포구 상수동,,
10001191560156,10001,대학교,19,울산,156,울산과학기술대,0156,울산광역시 울주군 언양읍 반연리,,
10001191570157,10001,대학교,19,울산,157,울산대,0157,울산광역시 남구 무거동,,
10001201580158,10001,대학교,20,인천,158,가천의대,0158,인천광역시 연수구 연수동,,
10001201590159,10001,대학교,20,인천,159,경인교육대(인천),0159,인천광역시 계양구 계산동,,
10001201600160,10001,대학교,20,인천,160,안양대(강화),0160,인천광역시 강화군 불은면 삼성리,,
10001201610161,10001,대학교,20,인천,161,인천가톨릭대,0161,인천광역시 강화군 양도면 도장리,,
10001201620162,10001,대학교,20,인천,162,인천대,0162,인천광역시 연수구 송도동,,
10001201630163,10001,대학교,20,인천,163,인하대,0163,인천광역시 남구 용현동,,
10001211640164,10001,대학교,21,전남,164,광주가톨릭대,0164,전라남도 나주시 남평읍 남석리,,
10001211650165,10001,대학교,21,전남,165,대불대,0165,전라남도 영암군 삼호읍 산호리,,
10001211660166,10001,대학교,21,전남,166,동신대,0166,전라남도 나주시 대호동,,
10001211670167,10001,대학교,21,전남,167,명신대,0167,전라남도 순천시 별량면 금치리,,
10001211680168,10001,대학교,21,전남,168,목포가톨릭대,0168,전라남도 목포시 석현동,,
10001211690169,10001,대학교,21,전남,169,목포대,0169,전라남도 무안군 청계면 도림리,,
10001211700170,10001,대학교,21,전남,170,목포해양대,0170,전라남도 목포시 죽교동,,
10001211710171,10001,대학교,21,전남,171,순천대,0171,전라남도 순천시 매곡동,,
10001211720172,10001,대학교,21,전남,172,영산선학대,0172,전라남도 영광군 백수읍 길용리,,
10001211730173,10001,대학교,21,전남,173,초당대,0173,전라남도 무안군 무안읍 성남리,,
10001211740174,10001,대학교,21,전남,174,한려대,0174,전라남도 광양시 광양읍 덕례리,,
10001221750175,10001,대학교,22,전북,175,군산대,0175,전라북도 군산시 미룡동,,
10001221760176,10001,대학교,22,전북,176,서남대,0176,전라북도 남원시 광치동,,
10001221770177,10001,대학교,22,전북,177,예수대,0177,전라북도 전주시 완산구 중화산동1가,,
10001221780178,10001,대학교,22,전북,178,예원예술대,0178,전라북도 임실군 신평면 창인리,,
10001221790179,10001,대학교,22,전북,179,우석대,0179,전라북도 완주군 삼례읍 후정리,,
10001221800180,10001,대학교,22,전북,180,원광대,0180,전라북도 익산시 신용동,,
10001221810181,10001,대학교,22,전북,181,전북대,0181,전라북도 전주시 덕진구 덕진동1가,,
10001221820182,10001,대학교,22,전북,182,전주교육대,0182,전라북도 전주시 완산구 동서학동,,
10001221830183,10001,대학교,22,전북,183,전주대,0183,전라북도 전주시 완산구 효자동3가,,
10001221840184,10001,대학교,22,전북,184,한일장신대,0184,전라북도 완주군 상관면 신리,,
10001221850185,10001,대학교,22,전북,185,호원대,0185,전라북도 군산시 임피면 월하리,,
10001231860186,10001,대학교,23,제주,186,제주대,0186,제주도 제주시 아라1동,,
10001231870187,10001,대학교,23,제주,187,탐라대,0187,제주도 서귀포시 하원동,,
10001241880188,10001,대학교,24,충남,188,건양대,0188,충청남도 논산시 내동,,
10001241890189,10001,대학교,24,충남,189,고려대(세종),0189,충청남도 연기군 조치원읍 ,,
10001241900190,10001,대학교,24,충남,190,공주교육대,0190,충청남도 공주시 봉황동,,
10001241910191,10001,대학교,24,충남,191,공주대,0191,충청남도 공주시 신관동,,
10001241920192,10001,대학교,24,충남,192,금강대,0192,충청남도 논산시 상월면 대명리,,
10001241930193,10001,대학교,24,충남,193,나사렛대,0193,충청남도 천안시 서북구 쌍용2동,,
10001241940194,10001,대학교,24,충남,194,남서울대,0194,충청남도 천안시 서북구 성환읍 매주리,,
10001241950195,10001,대학교,24,충남,195,단국대(천안),0195,충청남도 천안시 동남구 안서동,,
10001241960196,10001,대학교,24,충남,196,대전가톨릭대,0196,충청남도 연기군 전의면 신방리,,
10001241970197,10001,대학교,24,충남,197,백석대,0197,충청남도 천안시 동남구 안서동,,
10001241980198,10001,대학교,24,충남,198,상명대(천안),0198,충청남도 천안시 안서동,,
10001241990199,10001,대학교,24,충남,199,서남대(아산),0199,충청남도 아산시 송악면 평촌리,,
10001242000200,10001,대학교,24,충남,200,선문대,0200,충청남도 아산시 탕정면 갈산리,,
10001242010201,10001,대학교,24,충남,201,성민대,0201,충청남도 천안시 병천면 병천리,,
10001242020202,10001,대학교,24,충남,202,순천향대 ,0202,충청남도 아산시 신창면 읍내리,,
10001242030203,10001,대학교,24,충남,203,중부대,0203,충청남도 금산군 추부면,,
10001242040204,10001,대학교,24,충남,204,청운대,0204,충청남도 홍성군 홍성읍 남장리,,
10001242050205,10001,대학교,24,충남,205,한국기술교육대,0205,충청남도 천안시 동남구 병천면 가전리,,
10001242060206,10001,대학교,24,충남,206,한국전통문화학교,0206,충청남도 부여군 규암면 합정리,,
10001242070207,10001,대학교,24,충남,207,한서대,0207,충청남도 서산시 해미면 대곡리,,
10001242080208,10001,대학교,24,충남,208,호서대,0208,충청남도 천안시 안서동,,
10001242090209,10001,대학교,24,충남,209,홍익대(조치원),0209,충청남도 연기군 조치원읍 신안리,,
10001252100210,10001,대학교,25,충북,210,건국대(충주),0210,충청북도 충주시 단월동,,
10001252110211,10001,대학교,25,충북,211,극동대,0211,충청북도 음성군 감곡면 왕장리,,
10001252120212,10001,대학교,25,충북,212,꽃동네현도사회복지대,0212,충청북도 청원군 현도면 상삼리,,
10001252130213,10001,대학교,25,충북,213,서원대,0213,충청북도 청주시 흥덕구 모충동,,
10001252140214,10001,대학교,25,충북,214,세명대,0214,충청북도 제천시 신월동,,
10001252150215,10001,대학교,25,충북,215,영동대,0215,충청북도 영동군 영동읍 설계리,,
10001252160216,10001,대학교,25,충북,216,중원대,0216,충청북도 괴산군 괴산읍 동부리,,
10001252170217,10001,대학교,25,충북,217,청주교육대,0217,충청북도 청주시 흥덕구 수곡동,,
10001252180218,10001,대학교,25,충북,218,청주대,0218,충청북도 청주시 상당구 내덕동,,
10001252190219,10001,대학교,25,충북,219,충북대,0219,충청북도 청주시 흥덕구 개신동,,
10001252200220,10001,대학교,25,충북,220,충주대,0220,충청북도 충주시 이류면 검단리,,
10001252210221,10001,대학교,25,충북,221,한국교원대,0221,충청북도 청원군 강내면 다락리,,
10002100010187,10002,지하철역,10,수도권,001,1호선,0187,가능,127.044316449527,37.748655774945902
10002100010188,10002,지하철역,10,수도권,001,1호선,0188,가산디지털단지,126.882574802516,37.481598936035198
10002100010189,10002,지하철역,10,수도권,001,1호선,0189,간석,126.694368071792,37.464757665047102
10002100010190,10002,지하철역,10,수도권,001,1호선,0190,개봉,126.858827553537,37.494591068937503
10002100010191,10002,지하철역,10,수도권,001,1호선,0191,관악,126.90911496189899,37.418837732130697
10002100010192,10002,지하철역,10,수도권,001,1호선,0192,구로,126.881928593783,37.502498645685499
10002100010193,10002,지하철역,10,수도권,001,1호선,0193,구일,126.87020879986299,37.496701791668698
10002100010194,10002,지하철역,10,수도권,001,1호선,0194,군포,126.948427777962,37.354114896462697
10002100010195,10002,지하철역,10,수도권,001,1호선,0195,금정,126.94342229999999,37.372224500000002
10002100010196,10002,지하철역,10,수도권,001,1호선,0196,남영,126.97131462549299,37.541737802689198
10002100010197,10002,지하철역,10,수도권,001,1호선,0197,노량진,126.943418913648,37.514564193939002
10002100010198,10002,지하철역,10,수도권,001,1호선,0198,녹양,127.042303437434,37.759394089994302
10002100010199,10002,지하철역,10,수도권,001,1호선,0199,녹천,127.051263938365,37.6450668951707
10002100010200,10002,지하철역,10,수도권,001,1호선,0200,대방,126.92032390107801,37.500015685553599
10002100010201,10002,지하철역,10,수도권,001,1호선,0201,덕계,127.056504819049,37.818849243788897
10002100010202,10002,지하철역,10,수도권,001,1호선,0202,덕정,127.061258756344,37.843190787872302
10002100010203,10002,지하철역,10,수도권,001,1호선,0203,도봉,127.045306072218,37.679601782445303
10002100010204,10002,지하철역,10,수도권,001,1호선,0204,도봉산,127.046039590213,37.689397638394098
10002100010205,10002,지하철역,10,수도권,001,1호선,0205,도원,126.64223544767199,37.468712020778
10002100010206,10002,지하철역,10,수도권,001,1호선,0206,도화,126.66773497874399,37.466227956041699
10002100010207,10002,지하철역,10,수도권,001,1호선,0207,독산,126.88929626422799,37.467168625781802
10002100010208,10002,지하철역,10,수도권,001,1호선,0208,동대문,127.011066402868,37.5718559736342
10002100010209,10002,지하철역,10,수도권,001,1호선,0209,동두천,127.05517563014401,37.928152351609299
10002100010210,10002,지하철역,10,수도권,001,1호선,0210,동두천중앙,127.056384794642,37.902244511022502
10002100010211,10002,지하철역,10,수도권,001,1호선,0211,동암,126.70321847553799,37.471080131659797
10002100010212,10002,지하철역,10,수도권,001,1호선,0212,동인천,126.632060097644,37.475481380795401
10002100010213,10002,지하철역,10,수도권,001,1호선,0213,두정,127.14900214232701,36.833306304829001
10002100010214,10002,지하철역,10,수도권,001,1호선,0214,망월사,127.047469552501,37.709905948025302
10002100010215,10002,지하철역,10,수도권,001,1호선,0215,명학,126.935953657629,37.385006375839602
10002100010216,10002,지하철역,10,수도권,001,1호선,0216,방학,127.044401380474,37.667655224515698
10002100010217,10002,지하철역,10,수도권,001,1호선,0217,배방,127.052991112897,36.777642562936201
10002100010218,10002,지하철역,10,수도권,001,1호선,0218,백운,126.707593470886,37.483568636215502
10002100010219,10002,지하철역,10,수도권,001,1호선,0219,병점,127.033030685844,37.207020093358899
10002100010220,10002,지하철역,10,수도권,001,1호선,0220,보산,127.05729389448599,37.913621103557503
10002100010221,10002,지하철역,10,수도권,001,1호선,0221,봉명,127.13555441891,36.801152453740102
10002100010222,10002,지하철역,10,수도권,001,1호선,0222,부개,126.74074303642099,37.488511333859698
10002100010223,10002,지하철역,10,수도권,001,1호선,0223,의왕,126.947831648576,37.322650884306697
10002100010224,10002,지하철역,10,수도권,001,1호선,0224,부천,126.782835176273,37.484535033192799
10002100010225,10002,지하철역,10,수도권,001,1호선,0225,부평,126.724222145371,37.489450397191703
10002100010227,10002,지하철역,10,수도권,001,1호선,0227,서울역,126.972654375641,37.5533897601495
10002100010228,10002,지하철역,10,수도권,001,1호선,0228,서정리,127.052959532841,37.056954920724102
10002100010229,10002,지하철역,10,수도권,001,1호선,0229,석계,127.065702,37.615046999999997
10002100010230,10002,지하철역,10,수도권,001,1호선,0230,석수,126.902237926347,37.435673830247097
10002100010231,10002,지하철역,10,수도권,001,1호선,0231,성균관대,126.97114075115201,37.300241590803999
10002100010232,10002,지하철역,10,수도권,001,1호선,0232,광운대,127.06133128793699,37.623752287327299
10002100010233,10002,지하철역,10,수도권,001,1호선,0233,성환,127.126864010506,36.916645412004101
10002100010234,10002,지하철역,10,수도권,001,1호선,0234,세류,127.01336933477,37.245274625395197
10002100010235,10002,지하철역,10,수도권,001,1호선,0235,세마,127.04356512362899,37.187240622955201
10002100010236,10002,지하철역,10,수도권,001,1호선,0236,소사,126.79507303298099,37.4830073292542
10002100010237,10002,지하철역,10,수도권,001,1호선,0237,소요산,127.061365767776,37.948214909399198
10002100010238,10002,지하철역,10,수도권,001,1호선,0238,송내,126.753508948155,37.487771169122098
10002100010239,10002,지하철역,10,수도권,001,1호선,0239,송탄,127.054479145009,37.075764890929598
10002100010240,10002,지하철역,10,수도권,001,1호선,0240,수원,126.999176583804,37.267538000475199
10002100010241,10002,지하철역,10,수도권,001,1호선,0241,시청,126.977177060781,37.565957783039003
10002100010242,10002,지하철역,10,수도권,001,1호선,0242,금천구청,126.894592679426,37.456476813497801
10002100010243,10002,지하철역,10,수도권,001,1호선,0243,신길,126.91731911693201,37.517150550522601
10002100010244,10002,지하철역,10,수도권,001,1호선,0244,신도림,126.89062579702301,37.5098772887076
10002100010245,10002,지하철역,10,수도권,001,1호선,0245,신설동,127.02463786525,37.576301370327499
10002100010246,10002,지하철역,10,수도권,001,1호선,0246,신이문,127.06755425001499,37.602515744015697
10002100010249,10002,지하철역,10,수도권,001,1호선,0249,아산,127.104561411045,36.794438382745597
10002100010250,10002,지하철역,10,수도권,001,1호선,0250,안양,126.922205266202,37.401937037305601
10002100010251,10002,지하철역,10,수도권,001,1호선,0251,양주,127.04467545026201,37.774363592716099
10002100010253,10002,지하철역,10,수도권,001,1호선,0253,영등포,126.907243671329,37.516515845765703
10002100010254,10002,지하철역,10,수도권,001,1호선,0254,오류동,126.84601746732,37.494751499062303
10002100010255,10002,지하철역,10,수도권,001,1호선,0255,오산,127.066828232402,37.145583554734998
10002100010256,10002,지하철역,10,수도권,001,1호선,0256,오산대,127.062957681288,37.1696617147647
10002100010258,10002,지하철역,10,수도권,001,1호선,0258,온수,126.823004004754,37.492094309098803
10002100010259,10002,지하철역,10,수도권,001,1호선,0259,온양온천,127.002961900386,36.780649649541601
10002100010261,10002,지하철역,10,수도권,001,1호선,0261,외대앞,127.062975255578,37.595251582556202
10002100010262,10002,지하철역,10,수도권,001,1호선,0262,용산,126.964645514819,37.529687725175201
10002100010263,10002,지하철역,10,수도권,001,1호선,0263,월계,127.05886049435701,37.633754380375201
10002100010265,10002,지하철역,10,수도권,001,1호선,0265,의정부,127.045844630235,37.738795089535003
10002100010268,10002,지하철역,10,수도권,001,1호선,0268,인천,126.616907748191,37.476164643820702
10002100010269,10002,지하철역,10,수도권,001,1호선,0269,제기동,127.035130484866,37.5782449812043
10002100010270,10002,지하철역,10,수도권,001,1호선,0270,제물포,126.65630645332899,37.4668186160849
10002100010271,10002,지하철역,10,수도권,001,1호선,0271,종각,126.983098013036,37.570269183731099
